sid,clusterLabel,scaleLabel,shapeLabel,locationLabel,centroidX,centroidY,minX,minY,maxX,maxY,w,h,A
20087:203599,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,852.939630,462.187321,850.232570,460.283840,856.692000,464.390710,6.459430,4.106870,26.528039
20087:203602,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,879.158201,496.447130,876.071460,493.534040,880.907160,499.346950,4.835700,5.812910,28.109489
20087:203629,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,-4.987492,43.378373,-10.614460,40.144430,1.671000,50.186770,12.285460,10.042340,123.374766
20087:203637,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,889.583279,492.413964,887.285940,488.240660,893.836860,498.360020,6.550920,10.119360,66.291118
20087:203645,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,858.919144,512.738372,856.377750,509.277990,860.898330,517.646120,4.520580,8.368130,37.828801
20087:203653,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,864.312893,495.284827,863.195900,494.151100,865.408860,496.044210,2.212960,1.893110,4.189377
20087:203661,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,852.969481,511.288618,847.777970,505.836140,858.294100,516.561910,10.516130,10.725770,112.793592
20087:203670,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,868.907293,490.847236,867.285230,489.749980,870.354640,491.968220,3.069410,2.218240,6.808688
20087:203688,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,850.303707,468.364007,848.038400,466.567740,853.001370,470.049050,4.962970,3.481310,17.277637
20087:203696,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,-59.675347,23.677026,-62.270490,19.606060,-56.281420,30.188370,5.989070,10.582310,63.378195
20087:203700,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,-21.205431,34.673917,-26.636500,30.294620,-15.952000,38.262230,10.684500,7.967610,85.129929
20087:203718,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,834.403595,523.472089,832.275750,519.216780,836.622590,526.918310,4.346840,7.701530,33.477319
20087:203726,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,867.602944,489.648220,864.205630,485.593500,871.884750,492.464900,7.679120,6.871400,52.766305
20087:203734,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,864.337008,496.307809,861.486620,494.674880,866.771980,497.738570,5.285360,3.063690,16.192705
